,created,text,entities,geo,,,X,Y
13178,2020-07-31 17:03:59,"b'6am trying out our new @PenaltyBoxFit squares! My how things have changed, rickymr said it best \xe2\x80\x9cWe now have a squa\xe2\x80\xa6 https://t.co/0QGqdiUI2u'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PenaltyBoxFit', 'name': 'Penalty Box Fitness', 'id': 1111401105668390912, 'id_str': '1111401105668390912', 'indices': [23, 37]}], 'urls': [{'url': 'https://t.co/0QGqdiUI2u', 'expanded_url': 'https://twitter.com/i/web/status/1289245434490347520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'type': 'Point', 'coordinates': [21.30209, -157.86067]}","21.30209, -157.86067]}","21.30209, -157.86067",21.30209, -157.86067
4959,2020-08-06 03:26:36,"b""Throwing \xf0\x9f\xa4\x99's #fightcovid #maskup #socialdistancing #6feetapart #notpauyet #4thekeiki #4thekupuna #oneoahu\xe2\x80\xa6 https://t.co/Wig9c4czUD""","{'hashtags': [{'text': 'fightcovid', 'indices': [13, 24]}, {'text': 'maskup', 'indices': [25, 32]}, {'text': 'socialdistancing', 'indices': [33, 50]}, {'text': '6feetapart', 'indices': [51, 62]}, {'text': 'notpauyet', 'indices': [63, 73]}, {'text': '4thekeiki', 'indices': [74, 84]}, {'text': '4thekupuna', 'indices': [85, 96]}, {'text': 'oneoahu', 'indices': [97, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Wig9c4czUD', 'expanded_url': 'https://twitter.com/i/web/status/1291214060164395008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}","{'type': 'Point', 'coordinates': [21.31432, -158.00833]}","21.31432, -158.00833]}","21.31432, -158.00833",21.31432, -158.00833
5785,2020-08-05 17:43:32,b'Morning crew sharing aloha not Covid-19 #socialdistancing #maskup #oneoahu #6feetapart #votemakana #notpauyet\xe2\x80\xa6 https://t.co/jGaGURxKhQ',"{'hashtags': [{'text': 'socialdistancing', 'indices': [40, 57]}, {'text': 'maskup', 'indices': [58, 65]}, {'text': 'oneoahu', 'indices': [66, 74]}, {'text': '6feetapart', 'indices': [75, 86]}, {'text': 'votemakana', 'indices': [87, 98]}, {'text': 'notpauyet', 'indices': [99, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jGaGURxKhQ', 'expanded_url': 'https://twitter.com/i/web/status/1291067325890932737', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}","{'type': 'Point', 'coordinates': [21.31432, -158.00833]}","21.31432, -158.00833]}","21.31432, -158.00833",21.31432, -158.00833
1493,2020-08-08 05:18:38,b'Happy Aloha Friday! Happy Primary Election Eve! Be safe everyone. #fightcovid #maskup #socialdistancing #6feetapart\xe2\x80\xa6 https://t.co/2pAjKlCfWn',"{'hashtags': [{'text': 'fightcovid', 'indices': [66, 77]}, {'text': 'maskup', 'indices': [78, 85]}, {'text': 'socialdistancing', 'indices': [86, 103]}, {'text': '6feetapart', 'indices': [104, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2pAjKlCfWn', 'expanded_url': 'https://twitter.com/i/web/status/1291967031449776129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'type': 'Point', 'coordinates': [21.3906, -158.155]}","21.3906, -158.155]}","21.3906, -158.155",21.3906, -158.155
10372,2020-08-02 18:52:59,b'Starting off our day with a walk! So nice to see friends in person - even when you can only see half their lovely f\xe2\x80\xa6 https://t.co/I6iZgsHvQ2',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/I6iZgsHvQ2', 'expanded_url': 'https://twitter.com/i/web/status/1289997642483634176', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'type': 'Point', 'coordinates': [21.4139, -158.006]}","21.4139, -158.006]}","21.4139, -158.006",21.4139, -158.006
2430,2020-08-07 17:02:03,b'Thinking back on 2019 and wishing my favorite town #miami a full recovery in the midst of the Covid storm!\xe2\x80\xa6 https://t.co/nmnQcbYdnW',"{'hashtags': [{'text': 'miami', 'indices': [51, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nmnQcbYdnW', 'expanded_url': 'https://twitter.com/i/web/status/1291781665128214528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","{'type': 'Point', 'coordinates': [25.7751, -80.1936]}","25.7751, -80.1936]}","25.7751, -80.1936",25.7751, -80.1936
4140,2020-08-06 17:22:25,b'Thinking back on 2019 and wishing my favorite town #miami a full recovery in the midst of the Covid storm!\xe2\x80\xa6 https://t.co/ZFp4tvO4Ck',"{'hashtags': [{'text': 'miami', 'indices': [51, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZFp4tvO4Ck', 'expanded_url': 'https://twitter.com/i/web/status/1291424401406275586', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","{'type': 'Point', 'coordinates': [25.7751, -80.1936]}","25.7751, -80.1936]}","25.7751, -80.1936",25.7751, -80.1936
5791,2020-08-05 17:42:25,b'Thinking back on 2019 and wishing my favorite town #miami a full recovery in the midst of the Covid storm!\xe2\x80\xa6 https://t.co/KLa0B4y7rS',"{'hashtags': [{'text': 'miami', 'indices': [51, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KLa0B4y7rS', 'expanded_url': 'https://twitter.com/i/web/status/1291067045027565568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","{'type': 'Point', 'coordinates': [25.7751, -80.1936]}","25.7751, -80.1936]}","25.7751, -80.1936",25.7751, -80.1936
13416,2020-07-31 15:07:21,"b'#MaskUp whenever you are in public, both indoors &amp; out. This is a required per Miami \xe2\x80\x93 Dade county Emergency Order.\xe2\x80\xa6 https://t.co/VKYtXoHmm4'","{'hashtags': [{'text': 'MaskUp', 'indices': [0, 7]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VKYtXoHmm4', 'expanded_url': 'https://twitter.com/i/web/status/1289216083782582272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}","{'type': 'Point', 'coordinates': [25.88771, -80.13131]}","25.88771, -80.13131]}","25.88771, -80.13131",25.88771, -80.13131
1790,2020-08-08 00:05:44,b'Masked Twiggy sez #vote2020  and #voteblue2020 #biden2020 #maskup #maskupandvote #votefromhome2020 #voteinyourpjs\xe2\x80\xa6 https://t.co/XNx7IxPWfV',"{'hashtags': [{'text': 'vote2020', 'indices': [18, 27]}, {'text': 'voteblue2020', 'indices': [33, 46]}, {'text': 'biden2020', 'indices': [47, 57]}, {'text': 'maskup', 'indices': [58, 65]}, {'text': 'maskupandvote', 'indices': [66, 80]}, {'text': 'votefromhome2020', 'indices': [81, 98]}, {'text': 'voteinyourpjs', 'indices': [99, 113]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XNx7IxPWfV', 'expanded_url': 'https://twitter.com/i/web/status/1291888287531982848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}","{'type': 'Point', 'coordinates': [27.7706, -82.6794]}","27.7706, -82.6794]}","27.7706, -82.6794",27.7706, -82.6794
